"city","area","rooms","bathroom","parking","floor","animal","furniture","hoa","rent","property_tax"
"Sao Paulo",70,2,1,1,7,"yes","yes",2065,3300,211
"Sao Paulo",320,4,4,0,20,"yes","no",1200,4960,1750
"Porto Alegre",80,1,1,1,6,"yes","no",1000,2800,0
"Porto Alegre",51,2,1,0,2,"yes","no",270,1112,22
"Sao Paulo",25,1,1,0,1,"no","no",0,800,25
"Sao Paulo",376,3,3,7,0,"yes","no",0,8000,834
"Rio de Janeiro",72,2,1,0,7,"yes","no",740,1900,85
"Sao Paulo",213,4,4,4,4,"yes","no",2254,3223,1735
"Sao Paulo",152,2,2,1,3,"yes","yes",1000,15000,250
"Rio de Janeiro",35,1,1,0,2,"yes","yes",590,2300,35
"Sao Paulo",26,1,1,0,2,"yes","yes",470,2100,150
"Campinas",46,1,1,1,10,"yes","no",550,580,43
"Sao Paulo",36,1,1,0,11,"yes","no",359,2100,70
"Sao Paulo",55,1,1,1,2,"yes","yes",790,4200,224
"Sao Paulo",100,2,2,2,24,"yes","yes",900,4370,17
"Campinas",330,4,6,6,0,"yes","yes",680,8000,328
"Sao Paulo",110,2,2,1,1,"yes","no",700,3000,122
"Rio de Janeiro",88,2,3,1,9,"no","yes",1614,3500,221
"Rio de Janeiro",56,2,1,0,8,"yes","no",800,1220,0
"Sao Paulo",600,4,5,6,0,"yes","no",0,12000,9500
"Sao Paulo",100,7,4,0,0,"yes","no",0,3800,118
"Belo Horizonte",42,1,1,1,17,"no","yes",470,2690,172
"Sao Paulo",160,3,2,2,18,"yes","yes",1530,1900,167
"Sao Paulo",35,1,1,0,0,"yes","no",0,1100,3
"Rio de Janeiro",90,3,2,1,7,"yes","no",800,1800,118
"Sao Paulo",49,1,1,1,10,"yes","no",480,3500,42
"Sao Paulo",41,1,1,1,5,"no","yes",600,3000,0
"Belo Horizonte",64,2,2,1,11,"yes","no",352,1500,80
"Campinas",208,3,2,4,0,"yes","no",0,3180,100
"Sao Paulo",20,1,1,0,5,"yes","yes",602,1800,130
"Sao Paulo",55,2,2,2,6,"yes","no",780,1068,142
"Sao Paulo",32,1,1,0,3,"yes","no",515,1700,29
"Sao Paulo",80,2,2,1,11,"yes","no",1208,2550,216
"Rio de Janeiro",45,1,1,1,10,"yes","yes",2450,2500,593
"Sao Paulo",350,4,4,3,8,"yes","no",2100,4000,500
"Porto Alegre",38,1,1,2,11,"no","no",450,1750,0
"Sao Paulo",30,1,1,0,1,"yes","no",460,1600,0
"Belo Horizonte",80,3,2,1,0,"yes","no",0,11000,425
"Sao Paulo",70,2,1,0,0,"no","no",0,1150,59
"Porto Alegre",40,1,1,1,6,"yes","yes",390,2990,0
"Sao Paulo",300,4,6,4,20,"yes","no",3700,12000,1584
"Sao Paulo",240,3,2,3,0,"yes","no",0,3500,292
"Belo Horizonte",200,4,2,1,7,"no","no",850,2550,9
"Belo Horizonte",45,1,1,1,5,"yes","no",500,1631,192
"Sao Paulo",360,4,5,0,1,"yes","no",4000,6410,2000
"Sao Paulo",40,1,1,1,10,"yes","yes",978,2829,0
"Belo Horizonte",100,3,1,0,13,"no","no",700,1220,10
"Porto Alegre",42,1,1,2,2,"yes","yes",190,1770,17
"Campinas",250,3,3,2,1,"yes","no",2200,1700,256
"Campinas",48,1,1,1,2,"yes","yes",505,1600,59
"Rio de Janeiro",90,3,3,1,10,"yes","no",1250,3800,147
"Sao Paulo",45,1,2,1,15,"yes","yes",856,3900,150
"Rio de Janeiro",150,2,3,4,6,"yes","no",1700,4000,700
"Sao Paulo",60,2,1,0,2,"yes","no",200,1445,0
"Sao Paulo",31,1,1,0,4,"yes","no",370,2350,56
"Sao Paulo",210,4,5,4,4,"no","no",1650,9000,772
"Sao Paulo",280,3,1,2,0,"yes","no",0,6000,113
"Campinas",93,2,3,2,9,"yes","no",663,5500,133
"Porto Alegre",75,3,2,1,9,"yes","no",340,1800,109
"Sao Paulo",194,3,4,3,0,"yes","no",0,4000,70
"Sao Paulo",41,1,1,1,6,"yes","yes",523,4000,131
"Rio de Janeiro",65,1,1,1,8,"yes","yes",2000,5100,250
"Sao Paulo",70,2,1,1,13,"yes","no",761,2150,67
"Sao Paulo",278,4,5,2,16,"yes","yes",4052,9000,1261
"Rio de Janeiro",35,1,1,0,5,"yes","no",306,1521,21
"Campinas",300,4,4,3,2,"yes","no",2300,6000,417
"Sao Paulo",61,2,1,1,4,"yes","no",459,1850,0
"Rio de Janeiro",130,3,2,1,7,"yes","no",1660,1700,475
"Rio de Janeiro",80,2,1,1,20,"yes","no",500,900,90
"Sao Paulo",164,4,4,2,6,"no","no",2159,5000,386
"Belo Horizonte",220,4,2,3,3,"yes","no",450,2422,125
"Sao Paulo",45,1,1,0,0,"yes","no",0,1050,46
"Sao Paulo",108,3,2,2,7,"yes","no",1290,5600,435
"Belo Horizonte",128,1,1,0,4,"yes","yes",418,2100,182
"Rio de Janeiro",60,1,1,0,10,"no","no",450,1800,48
"Sao Paulo",250,4,5,4,6,"yes","no",2050,9800,998
"Porto Alegre",47,1,1,1,1,"no","yes",400,2200,0
"Belo Horizonte",170,4,3,4,9,"no","no",744,2700,296
"Sao Paulo",45,1,1,0,1,"no","no",300,1240,0
"Sao Paulo",42,1,1,1,15,"yes","no",686,3500,123
"Sao Paulo",164,4,4,3,1,"yes","no",1840,6000,550
"Sao Paulo",70,3,1,1,1,"yes","no",700,1020,200
"Porto Alegre",100,4,3,1,8,"yes","no",600,2200,159
"Sao Paulo",64,2,2,2,4,"yes","yes",1300,4500,440
"Belo Horizonte",68,2,1,1,3,"yes","no",320,1200,27
"Belo Horizonte",75,2,2,2,14,"no","no",620,2500,264
"Sao Paulo",600,4,4,4,9,"yes","no",7400,8500,3368
"Sao Paulo",63,2,2,0,15,"no","no",590,1550,152
"Sao Paulo",145,3,4,3,1,"no","no",1200,6000,750
"Sao Paulo",85,2,2,2,3,"no","no",1500,2800,292
"Sao Paulo",254,4,4,4,7,"yes","no",3366,9000,1800
"Porto Alegre",350,4,4,4,0,"yes","yes",1,9000,359
"Sao Paulo",300,4,4,3,0,"yes","no",0,3500,584
"Belo Horizonte",296,4,3,2,0,"yes","no",0,13500,423
"Sao Paulo",64,2,2,2,8,"yes","no",450,2800,30
"Sao Paulo",133,3,2,0,6,"yes","no",813,2957,38
"Campinas",44,1,1,0,7,"yes","no",350,550,12
"Campinas",240,3,4,2,0,"yes","no",0,3000,250
"Porto Alegre",70,3,2,1,4,"yes","no",490,2500,8
"Sao Paulo",22,1,1,0,26,"yes","no",302,2050,45
"Porto Alegre",50,1,1,1,1,"yes","no",350,950,50
"Porto Alegre",67,3,2,2,4,"yes","no",600,2200,50
"Sao Paulo",31,1,1,0,6,"yes","yes",430,2300,0
"Rio de Janeiro",90,2,1,1,1,"yes","yes",850,3468,191
"Rio de Janeiro",109,3,3,1,1,"yes","no",2000,3800,300
"Belo Horizonte",400,4,2,2,0,"no","no",0,2500,74
"Sao Paulo",300,4,5,4,0,"yes","yes",0,14000,1167
"Campinas",284,4,3,3,4,"yes","no",2340,6000,483
"Porto Alegre",70,2,1,1,3,"yes","yes",360,2400,30
"Rio de Janeiro",309,4,5,4,7,"yes","no",2661,6500,682
"Sao Paulo",70,2,1,0,0,"yes","no",0,2100,134
"Sao Paulo",360,3,4,1,10,"yes","no",2300,10000,584
"Sao Paulo",30,1,1,1,10,"no","no",886,1500,0
"Campinas",80,2,2,2,11,"yes","no",832,2200,171
"Belo Horizonte",133,4,4,3,6,"no","no",1500,7000,800
"Sao Paulo",38,1,1,1,14,"no","yes",1620,2800,279
"Sao Paulo",73,2,2,1,7,"yes","no",1100,3500,100
"Sao Paulo",155,3,4,2,4,"yes","no",1500,2000,150
"Sao Paulo",63,2,2,1,15,"yes","no",357,3200,50
"Sao Paulo",58,2,1,1,1,"yes","no",0,1400,0
"Sao Paulo",48,1,1,0,9,"no","yes",377,3450,0
"Sao Paulo",210,3,4,3,7,"yes","no",1700,2790,834
"Belo Horizonte",100,3,2,2,2,"yes","no",340,1600,183
"Sao Paulo",94,3,2,2,1,"yes","no",1337,3570,140
"Sao Paulo",94,3,3,2,3,"yes","yes",1220,5010,395
"Sao Paulo",76,3,1,1,4,"yes","no",1200,2500,267
"Sao Paulo",192,3,3,2,13,"yes","no",2100,7800,634
"Sao Paulo",217,3,4,3,1,"yes","no",2884,6500,0
"Sao Paulo",68,2,1,1,5,"yes","no",610,1400,35
"Sao Paulo",110,3,2,2,2,"yes","no",1145,2400,247
"Belo Horizonte",95,2,2,1,3,"yes","no",660,1600,164
"Sao Paulo",900,4,6,8,0,"yes","no",0,15000,4417
"Sao Paulo",34,1,1,0,5,"no","no",347,1200,45
"Sao Paulo",192,3,4,3,5,"yes","no",2000,8000,0
"Porto Alegre",62,2,2,1,9,"yes","no",350,1800,75
"Sao Paulo",180,3,3,4,0,"yes","no",0,3700,184
"Campinas",44,1,1,0,3,"yes","yes",350,916,12
"Belo Horizonte",100,2,1,1,1,"no","no",250,1700,116
"Rio de Janeiro",140,3,3,1,24,"no","no",900,1370,100
"Sao Paulo",170,3,3,3,8,"yes","yes",1570,2800,648
"Sao Paulo",100,3,2,2,0,"no","no",0,1600,150
"Sao Paulo",75,3,2,2,4,"yes","no",652,1600,82
"Rio de Janeiro",52,2,1,0,2,"yes","no",200,1200,43
"Campinas",999,5,7,8,0,"yes","no",0,14000,667
"Sao Paulo",270,4,4,4,8,"yes","no",2200,7000,1500
"Belo Horizonte",50,2,1,1,1,"yes","no",160,930,60
"Campinas",200,3,3,2,0,"yes","no",650,2210,184
"Sao Paulo",71,2,2,0,16,"yes","no",430,1920,100
"Sao Paulo",500,5,4,6,0,"yes","no",0,13000,250
"Sao Paulo",60,2,1,0,0,"yes","no",0,1080,94
"Sao Paulo",110,2,1,0,8,"yes","no",1100,1300,84
"Sao Paulo",210,3,3,4,0,"yes","no",0,3294,276
"Sao Paulo",220,3,4,3,8,"yes","no",2021,6000,996
"Belo Horizonte",200,3,2,5,0,"no","no",0,4000,204
"Sao Paulo",130,3,4,3,2,"yes","no",2300,4250,502
"Sao Paulo",65,2,2,2,7,"yes","yes",1037,4000,245
"Sao Paulo",96,3,2,2,17,"yes","no",804,3200,250
"Sao Paulo",660,4,5,5,12,"yes","yes",4800,20000,1750
"Rio de Janeiro",107,3,2,0,7,"yes","yes",1460,3200,270
"Rio de Janeiro",105,3,2,0,1,"yes","no",740,2200,9
"Rio de Janeiro",100,3,2,0,7,"yes","no",900,3290,109
"Sao Paulo",287,3,4,4,0,"yes","yes",0,9000,430
"Campinas",24,1,1,0,1,"no","yes",230,1180,9
"Sao Paulo",22,1,1,0,0,"no","no",0,976,0
"Sao Paulo",70,1,1,1,0,"no","no",0,2529,142
"Porto Alegre",44,1,1,1,2,"yes","yes",250,1500,17
"Sao Paulo",150,3,2,2,0,"no","no",0,2500,0
"Sao Paulo",90,1,2,2,9,"yes","yes",998,2900,220
"Sao Paulo",200,4,4,2,8,"yes","yes",3000,2800,830
"Sao Paulo",320,8,4,0,0,"yes","no",450,10500,350
"Porto Alegre",90,2,1,1,2,"no","no",550,1700,110
"Sao Paulo",240,4,4,3,9,"yes","no",2500,2144,834
"Sao Paulo",154,4,3,3,21,"yes","no",1684,7000,1020
"Sao Paulo",60,2,2,2,2,"yes","no",2340,3230,284
"Campinas",101,3,2,0,5,"yes","no",780,2380,91
"Porto Alegre",140,3,4,2,0,"no","no",0,3090,0
"Sao Paulo",500,4,5,8,0,"yes","no",0,15000,1850
"Sao Paulo",110,3,3,3,4,"yes","no",1195,2350,687
"Sao Paulo",110,3,3,2,0,"yes","no",0,4800,50
"Belo Horizonte",90,2,2,2,3,"yes","no",200,2000,84
"Sao Paulo",384,4,6,4,3,"no","yes",3500,15000,344
"Sao Paulo",57,2,1,1,7,"yes","no",570,1500,67
"Sao Paulo",160,3,3,2,5,"yes","yes",1650,1500,419
"Sao Paulo",39,1,1,0,8,"yes","no",330,1250,19
"Campinas",78,1,2,1,4,"yes","no",0,2290,143
"Porto Alegre",36,1,1,1,0,"yes","no",0,762,15
"Campinas",70,2,1,1,1,"yes","no",558,1200,0
"Belo Horizonte",45,1,1,1,4,"no","yes",300,3200,0
"Sao Paulo",200,3,4,3,1,"yes","no",3500,8500,1250
"Sao Paulo",100,3,3,3,0,"yes","no",0,4300,120
"Sao Paulo",42,1,1,1,14,"no","no",0,5000,0
"Sao Paulo",280,4,4,1,1,"yes","yes",3000,8000,292
"Sao Paulo",28,1,1,1,13,"no","yes",615,2800,42
"Sao Paulo",30,1,1,0,0,"no","yes",296,1826,30
"Belo Horizonte",85,3,2,1,1,"yes","no",337,1500,88
"Campinas",83,1,1,1,4,"no","no",500,1080,59
"Campinas",85,3,2,2,16,"yes","yes",550,3300,150
"Belo Horizonte",90,3,2,2,3,"yes","no",325,1600,105
"Belo Horizonte",50,2,1,0,5,"yes","no",0,900,100
"Rio de Janeiro",50,1,1,0,8,"yes","no",600,2900,134
"Belo Horizonte",300,3,2,3,0,"no","no",0,6700,539
"Porto Alegre",39,1,1,0,7,"yes","no",350,850,27
"Sao Paulo",750,4,4,6,0,"yes","no",0,15000,2084
"Porto Alegre",60,2,1,0,1,"yes","no",222,1100,46
"Rio de Janeiro",68,2,1,0,4,"no","no",750,1250,9
"Sao Paulo",70,2,1,1,0,"yes","no",230,1250,50
"Sao Paulo",90,2,2,1,6,"yes","yes",900,6500,89
"Rio de Janeiro",258,5,6,0,0,"yes","no",0,8700,670
